test,arch,platform,status,extra_args,handler,handler_time,ram_size,rom_size
tests/posix/eventfd_basic/posix.eventfd_basic,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/eventfd_basic/posix.eventfd_basic.posix_api,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common.newlib,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common.arcmwdtlib,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common.tls,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common.tls.newlib,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common.nsim,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/common/portability.posix.common.newlib.nsim,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/fs/portability.posix.fs,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/fs/portability.posix.fs.newlib,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/fs/portability.posix.fs.tls,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/fs/portability.posix.fs.tls.newlib,riscv32,hifive1,skipped,,renode,,0,0
tests/posix/eventfd/portability.posix.eventfd,riscv32,hifive1,skipped,,renode,,0,0
tests/net/icmpv6/net.icmpv6,riscv32,hifive1,skipped,,renode,,0,0
tests/net/ipv6/net.ipv6,riscv32,hifive1,skipped,,renode,,0,0
tests/net/context/net.context,riscv32,hifive1,skipped,,renode,,0,0
tests/net/pm/net.pm,riscv32,hifive1,skipped,,renode,,0,0
tests/net/buf/net.buf,riscv32,hifive1,skipped,,renode,,0,0
tests/net/arp/net.arp,riscv32,hifive1,skipped,,renode,,0,0
tests/net/arp/net.arp.preempt,riscv32,hifive1,skipped,,renode,,0,0
tests/net/hostname/net.hostname,riscv32,hifive1,skipped,,renode,,0,0
tests/net/hostname/net.hostname.unique,riscv32,hifive1,skipped,,renode,,0,0
tests/net/checksum_offload/net.offload,riscv32,hifive1,skipped,,renode,,0,0
tests/net/tcp/net.tcp.simple,riscv32,hifive1,skipped,,renode,,0,0
tests/net/tcp/net.tcp.no_recv_queue,riscv32,hifive1,skipped,,renode,,0,0
